index	label	city	Lufthansa	American Airlines	United	Adria
string	string	string	1 0	1 0	1 0	1 0
						class
255	XYD	Lyon (Part Dieu) Rail Svc FR	0	1	1	0
256	IDA	Idaho Falls, ID	0	0	1	0
257	CEZ	Cortez, CO	0	0	1	0
258	DLC	Dalian	1	1	1	0
259	DLA	Douala CM	0	1	0	0
260	SHV	Shreveport LA US	0	1	0	0
261	GCK	Garden City, KS	0	0	1	0
262	GCM	Grand Cayman Is. KY	0	1	1	0
263	OXR	Oxnard, CA	0	0	1	0
264	SHA	Schanghai/Shanghai Hongqiao	1	0	0	0
265	SHE	Schenjang/Shenyang	1	1	1	0
266	RFD	Chicago (Rockford), IL	0	0	1	0
267	JHM	Kapalua, HI	0	0	1	0
268	MFE	Mcallen TX US	0	1	0	0
269	MGA	Managua NI	0	1	1	0
270	BTV	Burlington	1	0	1	0
271	BTS	Bratislava	1	0	1	0
272	ABQ	Albuquerque	1	1	1	0
273	TBS	Tiflis/Tbilisi	1	0	1	0
274	SCE	State College, PA	0	0	1	0
275	ABR	Aberdeen, SD	0	0	1	0
276	CZM	Cozumel MX	0	1	1	0
277	MAN	Manchester	1	1	1	1
278	SSA	Salvador BA BR	0	1	0	0
279	ABV	Abuja	1	0	1	0
280	LUX	Luxemburg/Luxembourg	1	1	0	0
281	ATL	Atlanta	1	1	1	0
282	ISP	Islip, NY	0	0	1	0
283	ATH	Athen/Athens	1	0	0	0
284	IST	Istanbul	1	1	0	1
285	YHZ	Halifax	1	1	1	0
286	ATW	Appleton	1	0	1	0
287	ISN	Williston, ND	0	0	1	0
288	MUC	München/Munich	1	1	1	1
289	ISB	Islamabad PK	0	1	0	0
290	BFL	Bakersfield, CA	0	0	1	0
291	LUN	Lusaka ZM	0	1	0	0
292	CRW	Charleston, WV	0	0	1	0
293	TEX	Telluride, CO	0	0	1	0
294	PVR	Puerto Vallarta MX	0	1	1	0
295	LNY	Lanai City, HI	0	0	1	0
296	EVN	Eriwan/Yerevan	1	0	0	0
297	ZYN	Nimes Rail Svc FR	0	1	0	0
298	LNZ	Linz	1	0	1	0
299	ASB	Aschgabat/Ashgabat	1	0	1	0
300	PVD	Providence	1	1	1	0
301	ASE	Aspen	1	0	1	0
302	AEX	Alexandria LA US	0	1	0	0
303	RMI	Rimini	1	0	0	0
304	OAJ	Jacksonville, NC	0	0	1	0
305	ASM	Asmara	1	0	1	0
306	TLS	Toulouse	1	1	1	0
307	FRA	Frankfurt	1	1	1	1
308	CLO	Cali CO	0	1	0	0
309	VTE	Vientiane	1	0	0	0
310	LNK	Lincoln	1	0	1	0
311	QFZ	Saarbrücken Bhf/Sta	1	0	0	0
312	PDX	Portland OR	1	1	1	0
313	CLD	San Diego Carlsbad	1	0	1	0
314	CLE	Cleveland	1	1	1	0
315	DUB	Dublin	1	1	1	1
316	DUD	Dunedin, New Zealand	0	0	1	0
317	CLT	Charlotte	1	1	1	0
318	DUR	Durban	1	0	1	0
319	DUS	Düsseldorf	1	1	1	0
320	QFB	Freiburg Rail Svc DE	0	1	0	0
321	TLL	Tallinn	1	0	0	0
322	ITO	Hilo HI US	0	1	1	0
323	OMA	Omaha	1	1	1	0
324	NUE	Nürnberg/Nuremberg	1	0	0	0
325	ITH	Ithaca, NY	0	0	1	0
326	TUS	Tucson	1	1	1	0
327	GUP	Gallup, NM	0	0	1	0
328	TUL	Tulsa	1	1	1	0
329	TUN	Tunis	1	0	0	0
330	ZEU	Goettingen Rail Svc DE	0	1	0	0
331	CLL	College Station TX US	0	1	0	0
332	AAL	Aalborg	1	0	0	0
333	SWF	Newburgh NY US	0	1	0	0
334	YWG	Winnipeg	1	0	1	0
335	HUX	Huatulco MX	0	1	0	0
336	AAR	Aarhus	1	0	0	0
337	TLV	Tel Aviv	1	0	0	0
338	CYS	Cheyenne, WY	0	0	1	0
339	BIO	Bilbao	1	0	0	0
340	BIL	Billings	1	0	1	0
341	GYD	Baku	1	0	1	0
342	POZ	Posen/Poznan	1	0	0	0
343	GTF	Great Falls, MT	0	0	1	0
344	BHX	Birmingham	1	1	1	1
345	KWI	Kuwait	1	1	1	0
346	TSR	Temeswar/Timisoara	1	0	1	0
347	COS	Colorado Springs	1	1	1	0
348	POS	Port Of Spain TT	0	1	0	0
349	POP	Puerto Plata DO	0	1	0	0
350	BIA	Bastia	1	0	0	0
351	TGD	Podgorica	0	0	0	1
352	EUG	Eugene	1	1	1	0
353	MLA	Malta	1	0	1	0
354	VCE	Venedig/Venice	1	1	1	0
355	GOJ	Nishnij Nowgorod/Nizhniy Novgorod	1	0	0	0
356	SLU	St Lucia (Vigie) LC	0	1	0	0
357	MLI	Moline	1	1	1	0
358	GOA	Genua/Genoa	1	0	1	0
359	MLM	Morelia MX	0	1	0	0
360	SJT	San Angelo TX US	0	1	0	0
361	MLU	Monroe LA US	0	1	0	0
362	CWA	Wausau, WI	0	0	1	0
363	GOT	Göteborg/Gothenburg	1	1	1	0
364	CWB	Curitiba PR BR	0	1	0	0
365	SLC	Salt Lake City	1	1	1	0
366	MCO	Orlando	1	1	1	0
367	MCI	Kansas City	1	1	1	0
368	LGB	Long Beach CA US	0	1	0	0
369	ANU	Antigua AG	0	1	0	0
370	ARN	Stockholm	1	1	1	0
371	OTP	Bukarest/Bucharest	1	1	1	0
372	MCT	Maskat/Muscat	1	1	1	0
373	LGW	London (Gatwick) GB	0	1	0	1
374	NRT	Tokio/Tokyo Narita	1	1	1	0
375	PAP	Port Au Prince HT	0	1	0	0
376	YLW	Kelowna	1	0	0	0
377	CKG	Tschungking/Chongqing	1	1	1	0
378	BGI	Bridgetown BB	0	1	0	0
379	ZFQ	Bordeaux Rail Svc FR	0	1	1	0
380	BGM	Binghamton, NY	0	0	1	0
381	BGO	Bergen	1	0	1	0
382	ZFJ	Rennes Rail Svc FR	0	1	1	0
383	BGR	Bangor ME US	0	1	0	0
384	AXA	Anguilla AI	0	1	0	0
385	PAD	Paderborn-Lippstadt	1	0	0	0
386	SJC	San Jose	1	1	1	0
387	CKY	Conakry GN	0	1	0	0
388	ADL	Adelaide	1	1	1	0
389	TLH	Tallahassee, FL	0	0	1	0
390	RIX	Riga	1	0	1	0
391	VNO	Vilnius	1	0	1	0
392	RIW	Riverton, WY	0	0	1	0
393	DCA	Washington R. Reagan	1	1	1	0
394	CCU	Kalkutta/Kolkata	1	0	0	0
395	HSV	Huntsville	1	1	1	0
396	MQT	Marquette MI US	0	1	0	0
397	RIC	Richmond VA	1	1	1	0
398	HAJ	Hannover/Hanover	1	0	1	0
399	HBF	Hanover	0	1	0	0
400	HAM	Hamburg	1	1	1	0
401	HAN	Hanoi	1	1	1	0
402	TIP	Tripoli	1	0	0	0
403	THR	Teheran/Tehran	1	0	0	0
404	CCP	Concepcion CL	0	1	0	0
405	BNJ	""	0	1	0	0
406	XIR	Dresden Rail Svc DE	0	1	0	0
407	ITM	Osaka (Itami) JP	0	1	1	0
408	XIT	Leipzig/Halle Rail Svc DE	0	1	0	0
409	XIU	Erfurt Rail Svc DE	0	1	0	0
410	GPT	Gulfport MS US	0	1	0	0
411	THF	Berlin Tempelhof	1	1	0	0
412	BNA	Nashville	1	1	1	0
413	BNE	Brisbane	1	1	1	0
414	MZT	Mazatlan MX	0	1	0	0
415	KIX	Osaka	1	1	1	0
416	PHL	Philadelphia	1	1	1	0
417	ZAG	Zagreb	1	0	0	0
418	PHF	Newport News, VA	0	0	1	0
419	YEG	Edmonton	1	1	1	0
420	KIJ	Niigata	1	0	1	0
421	QJZ	Nantes Rail Svc FR	0	1	1	0
422	PHX	Phoenix	1	1	1	0
